window_index,ticker,window_start,window_end,feed_queries,rss_rows_recorded,queries_attempted,articles_saved,independent_articles,directional_raw_observations,raw_match_rate,directional_excess_observations,excess_match_rate,average_return_20d,average_excess_return_20d,what_went_wrong
1,ARCT,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,RSS feed failed: The read operation timed out || No RSS entries found
1,ASTS,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,BBAI,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,CRSP,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,IONQ,2025-11-21,2025-11-28,2,2,2,1,1,0,,0,,-3.8413,-5.1305,No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
1,RDW,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,RKLB,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || Skipped because ticker/company was not detected
1,RXRX,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,SOUN,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,UUUU,2025-11-21,2025-11-28,2,16,16,0,0,0,,0,,,,Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,ARCT,2025-12-10,2025-12-17,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
2,ASTS,2025-12-10,2025-12-17,2,3,3,0,0,0,,0,,,,No RSS entries found || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,BBAI,2025-12-10,2025-12-17,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
2,CRSP,2025-12-10,2025-12-17,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
2,IONQ,2025-12-10,2025-12-17,2,2,2,0,0,0,,0,,,,No RSS entries found || Skipped because ticker/company was not detected
2,RDW,2025-12-10,2025-12-17,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
2,RKLB,2025-12-10,2025-12-17,2,8,8,0,0,0,,0,,,,No RSS entries found || Skipped because article date was outside requested window || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,RXRX,2025-12-10,2025-12-17,2,3,3,0,0,0,,0,,,,No RSS entries found || Skipped because article date was outside requested window || Skipped because article date was outside requested window
2,SOUN,2025-12-10,2025-12-17,2,2,2,0,0,0,,0,,,,No RSS entries found || Skipped because ticker/company was not detected
