window_index,ticker,window_start,window_end,feed_queries,rss_rows_recorded,queries_attempted,articles_saved,independent_articles,directional_raw_observations,raw_match_rate,directional_excess_observations,excess_match_rate,average_return_20d,average_excess_return_20d,what_went_wrong
1,ARCT,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found
1,ASTS,2025-11-21,2025-11-28,8,8,8,3,3,0,,0,,47.04,44.2989,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
1,BBAI,2025-11-21,2025-11-28,8,8,8,1,1,0,,0,,-9.0909,-10.3801,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected
1,CRSP,2025-11-21,2025-11-28,8,9,9,1,1,1,100.0,1,100.0,5.8615,3.2838,No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because article date was outside requested window || Skipped because ticker/company was not detected
1,IONQ,2025-11-21,2025-11-28,8,10,10,1,1,0,,0,,5.8648,3.2871,No RSS entries found || Skipped because entry is a quote/watchlist page || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || Skipped because ticker/company was not detected || No RSS entries found || Skipped because ticker/company was not detected
1,RDW,2025-11-21,2025-11-28,8,29,29,0,0,0,,0,,,,No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because article date was outside requested window
1,RKLB,2025-11-21,2025-11-28,8,8,8,1,1,0,,0,,81.1737,78.596,No RSS entries found || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || RSS feed failed: The read operation timed out
1,RXRX,2025-11-21,2025-11-28,8,8,8,1,1,1,0.0,1,0.0,-3.6281,-5.4922,No RSS entries found || No RSS entries found || raw 20d return contradicted signal thesis | excess 20d return contradicted signal thesis || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || RSS feed failed: The read operation timed out
1,SOUN,2025-11-21,2025-11-28,8,8,8,2,2,1,100.0,1,100.0,-10.7787,-12.7122,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found
1,UUUU,2025-11-21,2025-11-28,8,27,27,1,1,0,,0,,8.6614,5.4818,Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,ARCT,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected
2,ASTS,2025-12-10,2025-12-17,8,9,9,2,2,1,100.0,1,100.0,30.6542,28.7659,No RSS entries found || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,BBAI,2025-12-10,2025-12-17,8,8,8,2,2,0,,0,,0.1561,-1.7323,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,CRSP,2025-12-10,2025-12-17,8,10,10,1,1,0,,0,,-4.8029,-5.9701,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because article date was outside requested window
2,IONQ,2025-12-10,2025-12-17,8,8,8,2,2,0,,0,,3.9978,1.3057,No RSS entries found || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || Skipped because article date was outside requested window || No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,RDW,2025-12-10,2025-12-17,8,8,8,2,2,0,,0,,39.0388,37.4241,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || Skipped because ticker/company was not detected || No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,RKLB,2025-12-10,2025-12-17,8,14,14,2,2,0,,0,,64.6175,62.625,No RSS entries found || Skipped because article date was outside requested window || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,RXRX,2025-12-10,2025-12-17,8,12,12,1,1,0,,0,,5.0218,3.8546,No RSS entries found || Skipped because article date was outside requested window || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because article date was outside requested window || No RSS entries found || No RSS entries found
2,SOUN,2025-12-10,2025-12-17,8,22,22,1,1,0,,0,,-3.8238,-4.991,No RSS entries found || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected
2,UUUU,2025-12-10,2025-12-17,8,27,27,1,1,0,,0,,48.5795,46.3087,Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because ticker/company was not detected
3,ARCT,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || Skipped because Yahoo Finance reached source failure cap (3) || RSS feed failed: The read operation timed out || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,ASTS,2025-12-29,2026-01-05,8,22,22,1,1,0,,0,,53.1186,51.6448,No RSS entries found || No RSS entries found || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected
3,BBAI,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,No RSS entries found || No RSS entries found || RSS feed failed: The read operation timed out || No RSS entries found || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out
3,CRSP,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || Skipped because Seeking Alpha reached source failure cap (3)
