window_index,ticker,window_start,window_end,feed_queries,rss_rows_recorded,queries_attempted,articles_saved,independent_articles,directional_raw_observations,raw_match_rate,directional_excess_observations,excess_match_rate,average_return_20d,average_excess_return_20d,what_went_wrong
1,AAPL,2025-11-21,2025-11-28,2,3,3,2,2,0,,0,,-1.318,-3.5389,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
1,CRSP,2025-11-21,2025-11-28,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
1,GOOGLE,2025-11-21,2025-11-28,2,3,3,2,2,0,,0,,-1.9979,-4.2188,Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | market data ticker normalized to GOOG | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || signal below directional threshold | low data quality: title-only body | uncertain classification | market data ticker normalized to GOOG | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
1,MSFT,2025-11-21,2025-11-28,2,6,6,2,2,0,,1,0.0,1.2322,-0.7012,Skipped because article date was outside requested window || Skipped because ticker/company was not detected || excess 20d return contradicted signal thesis || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
1,NVDA,2025-11-21,2025-11-28,2,18,18,1,1,0,,0,,6.3449,5.3949,Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
1,QCOM,2025-11-21,2025-11-28,2,17,17,0,0,0,,0,,,,Skipped because ticker/company was not detected || Skipped because article date was outside requested window || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,AAPL,2025-11-30,2025-12-07,2,2,2,2,2,1,100.0,1,100.0,-4.6243,-4.8142,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,CRSP,2025-11-30,2025-12-07,2,2,2,0,0,0,,0,,,,No RSS entries found || No RSS entries found
2,GOOGLE,2025-11-30,2025-12-07,2,2,2,2,2,0,,0,,-1.4575,-2.2292,signal below directional threshold | low data quality: title-only body | uncertain classification | market data ticker normalized to GOOG | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || signal below directional threshold | low data quality: title-only body | uncertain classification | market data ticker normalized to GOOG | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,MSFT,2025-11-30,2025-12-07,2,2,2,2,2,0,,0,,-1.6617,-2.4452,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
2,NVDA,2025-11-30,2025-12-07,2,30,30,0,0,0,,0,,,,Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
2,QCOM,2025-11-30,2025-12-07,2,16,16,0,0,0,,0,,,,Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected
3,AAPL,2025-12-09,2025-12-16,2,2,2,2,2,0,,0,,-6.577,-8.23,signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
3,CRSP,2025-12-09,2025-12-16,2,2,2,0,0,0,,0,,,,No RSS entries found || Skipped because ticker/company was not detected
3,GOOGLE,2025-12-09,2025-12-16,2,4,4,2,2,1,0.0,1,0.0,5.4399,3.787,signal below directional threshold | low data quality: title-only body | uncertain classification | market data ticker normalized to GOOG | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || Skipped because ticker/company was not detected || Skipped because ticker/company was not detected || raw 20d return contradicted signal thesis | excess 20d return contradicted signal thesis
3,MSFT,2025-12-09,2025-12-16,2,2,2,2,2,0,,1,0.0,0.1504,-1.0932,excess 20d return contradicted signal thesis || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation
